"RecordID","TimeStamp","DeltaToUTC","UserID","ObjectID","Description","Comment","Checksum"
0,"23/01/2018 09:08:02","+0:00","System","Application","New log file during run of  on device . Project: '. - ' Build , created with .WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3",,rMbICX
294103,"23/01/2018 09:08:02","+0:00","System","Logs","Exporting a log.",,pC9xE2
294104,"23/01/2018 09:08:08","+0:00",,"Recipe","Loading recipe number 3 ( Production 5mL ) on the interface.",,k2dvNX
294105,"23/01/2018 09:08:09","+0:00",,"Recipe","Data trasfered to PLC",,KJMOnO
294106,"23/01/2018 09:08:09","+0:00",,"Warning","ALARM OZONE SENSOR  On",,rGcHX7
294107,"23/01/2018 09:08:09","+0:00",,"Warning","PVSI NOT RUNNING   On",,0R/4/A
294108,"23/01/2018 09:08:09","+0:00",,"Warning","WARNING EMPTY PROGRAM ACTIVATED  On",,tnvd89
294109,"23/01/2018 09:08:09","+0:00",,"Warning","WARNING ACCEPTED TRAY ALMOST FULL  On",,Rc7Oks
294110,"23/01/2018 09:08:09","+0:00",,"Alarm","EMERGENCY  On",,vQ97fP
294111,"23/01/2018 09:08:09","+0:00",,"Alarm","COVER OPEN 5  On",,C+mN01
294112,"23/01/2018 09:08:09","+0:00",,"Alarm","ALARM SAFETY CLUTCH LOADING STARWHEEL  On",,zjf+jZ
294113,"23/01/2018 09:08:09","+0:00",,"Alarm","ALARM SAFETY CLUTCH INTERMITTENT STARWHEEL IMPUT  On",,ebyBMi
294114,"23/01/2018 09:08:09","+0:00",,"Alarm","ALARM SAFETY CLUTCH INTERMITTENT STARWHEEL OUTPUT   On",,NzkYjQ
294115,"23/01/2018 09:08:09","+0:00",,"Alarm","ALARM INFEED BELT MOTOR  On",,wb+lHh
294116,"23/01/2018 09:08:09","+0:00",,"Alarm","ALARM ROTATION MOTOR 1  On",,M9zo3N
294117,"23/01/2018 09:08:09","+0:00",,"Alarm","ALARM ROTATION MOTOR 2  On",,7JizPO
294118,"23/01/2018 09:08:09","+0:00",,"Alarm","ALARM MISSING COMUNICATION WITH INTERFACE  On",,1BniUO
294119,"23/01/2018 09:08:09","+0:00",,"Alarm","ALARM MISSING ST0 TIP REJECTED TRAYS   On",,T2texC
294120,"23/01/2018 09:08:09","+0:00",,"Alarm","ALARM MISSING LKD REJECTED TRAYS   On",,3DztcS
294121,"23/01/2018 09:08:09","+0:00",,"Alarm","PVSI NOT READY  On",,ASy/BK
294122,"23/01/2018 09:08:09","+0:00",,"Alarm","PVSI AND WINCC PRODUCT DIFFERENT  On",,GzXnbZ
294123,"23/01/2018 09:08:09","+0:00",,"Alarm","Alarm profibus nodo 3 (encoder)  On",,Ex1xy3
294124,"23/01/2018 09:08:09","+0:00",,"Alarm","Alarm profibus nodo 4 (PC)  On",,1oLGcs
294125,"23/01/2018 09:08:09","+0:00",,"Alarm","WARNING MISSING LOGIN OPERATION  On",,UlAU8o
294126,"23/01/2018 09:08:13","+0:00",,"Alarm","ALARM MISSING COMUNICATION WITH INTERFACE  Off",,T1pg2Z
294127,"23/01/2018 09:10:25","+0:00","System","User administration","User 'simonb' logged on with group 'Administrator'.",,uR4X9u
294128,"23/01/2018 09:10:38","+0:00","simonb","Warning","PVSI NOT RUNNING   Off",,bBhVow
294129,"23/01/2018 09:10:40","+0:00","simonb","Warning","PVSI IN MANUAL MODE  On",,ZUdK3H
294130,"23/01/2018 09:10:53","+0:00","simonb","Alarm","COVER OPEN 7  On",,MR3dXs
294131,"23/01/2018 09:11:22","+0:00","simonb","Recipe","Loading recipe number 3 ( Production 5mL ) on the interface.",,I1KM49
294132,"23/01/2018 09:11:22","+0:00","simonb","Recipe","Data trasfered to PLC",,a3JQXs
294133,"23/01/2018 09:11:45","+0:00","simonb","Warning","ALARM OZONE SENSOR  Off",,9RKVe9
294134,"23/01/2018 09:11:45","+0:00","simonb","Alarm","COVER OPEN 5  Off",,pvqFvP
294135,"23/01/2018 09:11:45","+0:00","simonb","Alarm","COVER OPEN 7  Off",,gfd52k
294136,"23/01/2018 09:11:45","+0:00","simonb","Alarm","ALARM SAFETY CLUTCH LOADING STARWHEEL  Off",,bprNmN
294137,"23/01/2018 09:11:45","+0:00","simonb","Alarm","ALARM SAFETY CLUTCH INTERMITTENT STARWHEEL IMPUT  Off",,VkfBxj
294138,"23/01/2018 09:11:45","+0:00","simonb","Alarm","ALARM SAFETY CLUTCH INTERMITTENT STARWHEEL OUTPUT   Off",,QDiY6/
294139,"23/01/2018 09:11:45","+0:00","simonb","Alarm","ALARM ROTATION MOTOR 1  Off",,FgaPp9
294140,"23/01/2018 09:11:45","+0:00","simonb","Alarm","ALARM ROTATION MOTOR 2  Off",,ACEwZA
294141,"23/01/2018 09:11:45","+0:00","simonb","Alarm","ALARM MISSING ST0 TIP REJECTED TRAYS   Off",,J0x8I2
294142,"23/01/2018 09:11:45","+0:00","simonb","Alarm","ALARM MISSING LKD REJECTED TRAYS   Off",,vTk+nJ
294143,"23/01/2018 09:11:45","+0:00","simonb","Alarm","PVSI NOT READY  Off",,vUN6Jl
294144,"23/01/2018 09:11:45","+0:00","simonb","Alarm","PVSI AND WINCC PRODUCT DIFFERENT  Off",,krbhm8
294145,"23/01/2018 09:11:45","+0:00","simonb","Alarm","Alarm profibus nodo 3 (encoder)  Off",,8Mf2Jm
294146,"23/01/2018 09:11:45","+0:00","simonb","Alarm","Alarm profibus nodo 4 (PC)  Off",,YpZPks
294147,"23/01/2018 09:11:45","+0:00","simonb","Alarm","WARNING MISSING LOGIN OPERATION  Off",,8oW3QH
294148,"23/01/2018 09:11:45","+0:00","simonb","Alarm","EMERGENCY  Off",,ZX0AEF
294149,"23/01/2018 09:11:45","+0:00","simonb","Alarm","ALARM INFEED BELT MOTOR  Off",,bPhu3A
294150,"23/01/2018 09:12:04","+0:00","simonb","Warning","PVSI NOT RUNNING   On",,vKg1y6
294151,"23/01/2018 09:12:05","+0:00","simonb","Warning","PVSI NOT RUNNING   Off",,/wV5t+
294152,"23/01/2018 09:12:06","+0:00","simonb","Alarm","COVER OPEN 7  On",,a81Lyh
294153,"23/01/2018 09:12:06","+0:00","simonb","Alarm","EMERGENCY  On",,SR0MF9
294154,"23/01/2018 09:12:06","+0:00","simonb","Alarm","ALARM INFEED BELT MOTOR  On",,rg3shA
294155,"23/01/2018 09:12:15","+0:00","simonb","Warning","PVSI IN MANUAL MODE  Off",,vaMPvT
294156,"23/01/2018 09:12:15","+0:00","simonb","Alarm","COVER OPEN 7  Off",,/XU8AJ
294157,"23/01/2018 09:12:15","+0:00","simonb","Alarm","EMERGENCY  Off",,SNbtwS
294158,"23/01/2018 09:12:15","+0:00","simonb","Alarm","ALARM INFEED BELT MOTOR  Off",,e/sw5V
294159,"23/01/2018 09:12:35","+0:00","simonb","Alarm","EMERGENCY  On",,I86JPl
294160,"23/01/2018 09:12:35","+0:00","simonb","Alarm","COVER OPEN 7  On",,EWlScw
294161,"23/01/2018 09:12:36","+0:00","simonb","Alarm","ALARM INFEED BELT MOTOR  On",,X5Wofo
294162,"23/01/2018 09:13:10","+0:00","simonb","Alarm","COVER OPEN 7  Off",,mhJx2e
294163,"23/01/2018 09:13:10","+0:00","simonb","Alarm","EMERGENCY  Off",,qDOTmD
294164,"23/01/2018 09:13:11","+0:00","simonb","Alarm","ALARM INFEED BELT MOTOR  Off",,l9s2nP
294165,"23/01/2018 09:13:40","+0:00","simonb","Alarm","EMERGENCY  On",,XwmWTQ
294166,"23/01/2018 09:13:40","+0:00","simonb","Alarm","COVER OPEN 7  On",,EccW92
294167,"23/01/2018 09:13:40","+0:00","simonb","Alarm","ALARM INFEED BELT MOTOR  On",,noui4g
294168,"23/01/2018 09:14:24","+0:00","simonb","Alarm","COVER OPEN 7  Off",,3NeKZ8
294169,"23/01/2018 09:14:24","+0:00","simonb","Alarm","EMERGENCY  Off",,+T4WmD
294170,"23/01/2018 09:14:24","+0:00","simonb","Alarm","ALARM INFEED BELT MOTOR  Off",,+6uLWf
294171,"23/01/2018 09:14:40","+0:00","simonb","Alarm","PVSI NOT READY  On",,9aKI04
294172,"23/01/2018 09:15:43","+0:00","simonb","Alarm","EMERGENCY  On",,femT9/
294173,"23/01/2018 09:15:43","+0:00","simonb","Alarm","COVER OPEN 7  On",,isopWT
