"RecordID","TimeStamp","DeltaToUTC","UserID","ObjectID","Description","Comment","Checksum"
0,"11/10/2018 09:56:15","-1:00","System","Application","New log file during run of  on device . Project: '. - ' Build , created with .WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3",,6DgYdm
474836,"11/10/2018 09:56:15","-1:00","System","Logs","Exporting a log.",,I0GXpz
474837,"11/10/2018 09:56:21","-1:00",,"Recipe","Loading recipe number 16 ( 2ml Amber Ampoules ) on the interface.",,hsS1Uy
474838,"11/10/2018 09:56:21","-1:00",,"Recipe","Data trasfered to PLC",,vXOsix
474839,"11/10/2018 09:56:21","-1:00",,"Warning","ALARM OZONE SENSOR  On",,TpjPWg
474840,"11/10/2018 09:56:21","-1:00",,"Warning","PVSI NOT RUNNING   On",,MqUrLY
474841,"11/10/2018 09:56:21","-1:00",,"Warning","WARNING END KNAPP PROCESS  On",,+KF6pb
474842,"11/10/2018 09:56:21","-1:00",,"Warning","KNAPP READY TO START  On",,WyuHUd
474843,"11/10/2018 09:56:21","-1:00",,"Warning","WARNING EMPTY PROGRAM ACTIVATED  On",,5d6lyx
474844,"11/10/2018 09:56:21","-1:00",,"Alarm","EMERGENCY  On",,iGr9oc
474845,"11/10/2018 09:56:21","-1:00",,"Alarm","COVER OPEN 1  On",,xGwtLb
474846,"11/10/2018 09:56:21","-1:00",,"Alarm","COVER OPEN 2  On",,uYmdkm
474847,"11/10/2018 09:56:21","-1:00",,"Alarm","COVER OPEN 3  On",,NgZKXT
474848,"11/10/2018 09:56:21","-1:00",,"Alarm","COVER OPEN 6  On",,it1RdQ
474849,"11/10/2018 09:56:21","-1:00",,"Alarm","COVER OPEN 7  On",,Humo6o
474850,"11/10/2018 09:56:21","-1:00",,"Alarm","ALARM SAFETY CLUTCH LOADING STARWHEEL  On",,zQtVRd
474851,"11/10/2018 09:56:21","-1:00",,"Alarm","ALARM SAFETY CLUTCH INTERMITTENT STARWHEEL IMPUT  On",,SPmo7u
474852,"11/10/2018 09:56:21","-1:00",,"Alarm","ALARM SAFETY CLUTCH INTERMITTENT STARWHEEL OUTPUT   On",,EUA34h
474853,"11/10/2018 09:56:21","-1:00",,"Alarm","ALARM INFEED BELT MOTOR  On",,0V4qkj
474854,"11/10/2018 09:56:21","-1:00",,"Alarm","ALARM ROTATION MOTOR 1  On",,3+mKhx
474855,"11/10/2018 09:56:21","-1:00",,"Alarm","ALARM ROTATION MOTOR 2  On",,ZFYvcP
474856,"11/10/2018 09:56:21","-1:00",,"Alarm","ALARM MISSING COMUNICATION WITH INTERFACE  On",,o3Yys0
474857,"11/10/2018 09:56:21","-1:00",,"Alarm","ALARM MISSING ST0 TIP REJECTED TRAYS   On",,Ly14zm
474858,"11/10/2018 09:56:21","-1:00",,"Alarm","ALARM MISSING LKD REJECTED TRAYS   On",,G5uqzV
474859,"11/10/2018 09:56:21","-1:00",,"Alarm","PVSI NOT READY  On",,1aKc1c
474860,"11/10/2018 09:56:21","-1:00",,"Alarm","PVSI AND WINCC PRODUCT DIFFERENT  On",,fDJ+cS
474861,"11/10/2018 09:56:21","-1:00",,"Alarm","Alarm profibus nodo 3 (encoder)  On",,JXAg3e
474862,"11/10/2018 09:56:21","-1:00",,"Alarm","Alarm profibus nodo 4 (PC)  On",,nLcDoq
474863,"11/10/2018 09:56:21","-1:00",,"Alarm","WARNING MISSING LOGIN OPERATION  On",,OdUlOU
474864,"11/10/2018 09:56:26","-1:00",,"Alarm","ALARM MISSING COMUNICATION WITH INTERFACE  Off",,i+cqpP
474865,"11/10/2018 10:01:00","-1:00",,"Warning","PVSI NOT RUNNING   Off",,9pH++k
474866,"11/10/2018 10:01:00","-1:00",,"Warning","WARNING SAFETY DOORS EXCLUDED  On",,T4Ghvr
474867,"11/10/2018 10:01:05","-1:00",,"Warning","ALARM OZONE SENSOR  Off",,7gbg9H
474868,"11/10/2018 10:01:05","-1:00",,"Alarm","COVER OPEN 1  Off",,hfygmo
474869,"11/10/2018 10:01:05","-1:00",,"Alarm","COVER OPEN 2  Off",,PMsVs6
474870,"11/10/2018 10:01:05","-1:00",,"Alarm","COVER OPEN 3  Off",,nFo+II
474871,"11/10/2018 10:01:05","-1:00",,"Alarm","COVER OPEN 6  Off",,OPXGx/
474872,"11/10/2018 10:01:05","-1:00",,"Alarm","COVER OPEN 7  Off",,fqbyVD
474873,"11/10/2018 10:01:05","-1:00",,"Alarm","ALARM SAFETY CLUTCH LOADING STARWHEEL  Off",,MxOCmr
474874,"11/10/2018 10:01:05","-1:00",,"Alarm","ALARM SAFETY CLUTCH INTERMITTENT STARWHEEL IMPUT  Off",,XoHk/l
474875,"11/10/2018 10:01:05","-1:00",,"Alarm","ALARM SAFETY CLUTCH INTERMITTENT STARWHEEL OUTPUT   Off",,/KqxHP
474876,"11/10/2018 10:01:05","-1:00",,"Alarm","ALARM ROTATION MOTOR 1  Off",,Bjcr1X
474877,"11/10/2018 10:01:05","-1:00",,"Alarm","ALARM ROTATION MOTOR 2  Off",,CXh8bC
474878,"11/10/2018 10:01:05","-1:00",,"Alarm","ALARM MISSING ST0 TIP REJECTED TRAYS   Off",,HwB2l0
474879,"11/10/2018 10:01:05","-1:00",,"Alarm","ALARM MISSING LKD REJECTED TRAYS   Off",,30cIvj
474880,"11/10/2018 10:01:05","-1:00",,"Alarm","PVSI NOT READY  Off",,FhFTXr
474881,"11/10/2018 10:01:05","-1:00",,"Alarm","PVSI AND WINCC PRODUCT DIFFERENT  Off",,RZoDJ1
474882,"11/10/2018 10:01:05","-1:00",,"Alarm","Alarm profibus nodo 3 (encoder)  Off",,U7YlmY
474883,"11/10/2018 10:01:05","-1:00",,"Alarm","Alarm profibus nodo 4 (PC)  Off",,fIPU9D
474884,"11/10/2018 10:01:05","-1:00",,"Alarm","WARNING MISSING LOGIN OPERATION  Off",,vmQ9B9
474885,"11/10/2018 10:01:05","-1:00",,"Alarm","EMERGENCY  Off",,m7GWmD
474886,"11/10/2018 10:01:05","-1:00",,"Alarm","ALARM INFEED BELT MOTOR  Off",,5uRcx1
474887,"11/10/2018 10:01:08","-1:00",,"Alarm","EMERGENCY  On",,V0HnvV
474888,"11/10/2018 10:01:08","-1:00",,"Alarm","ALARM INFEED BELT MOTOR  On",,K0kv5t
474889,"11/10/2018 10:01:41","-1:00",,"Alarm","EMERGENCY  Off",,XEwhRG
474890,"11/10/2018 10:01:41","-1:00",,"Alarm","ALARM INFEED BELT MOTOR  Off",,+bnnLV
474891,"11/10/2018 10:03:45","-1:00",,"Alarm","EMERGENCY  On",,02C0mK
474892,"11/10/2018 10:03:45","-1:00",,"Alarm","ALARM INFEED BELT MOTOR  On",,jGHZQX
474893,"11/10/2018 10:16:14","-1:00",,"Alarm","EMERGENCY  Off",,cBNGSc
474894,"11/10/2018 10:16:14","-1:00",,"Alarm","ALARM INFEED BELT MOTOR  Off",,H5SQik
474895,"11/10/2018 10:53:05","-1:00",,"Alarm","EMERGENCY  On",,kTUnJM
474896,"11/10/2018 10:53:05","-1:00",,"Alarm","ALARM INFEED BELT MOTOR  On",,l/ZbdF
474897,"11/10/2018 11:04:58","-1:00",,"Warning","PVSI NOT RUNNING   On",,vvuH9J
474898,"11/10/2018 11:04:58","-1:00",,"Warning","WARNING SAFETY DOORS EXCLUDED  Off",,1IugDY
474899,"11/10/2018 11:04:58","-1:00",,"Alarm","COVER OPEN 1  On",,UVzcIe
474900,"11/10/2018 11:04:58","-1:00",,"Alarm","COVER OPEN 2  On",,Qyke3c
474901,"11/10/2018 11:04:58","-1:00",,"Alarm","COVER OPEN 3  On",,dn1o6I
474902,"11/10/2018 11:04:58","-1:00",,"Alarm","COVER OPEN 6  On",,YcUBi/
474903,"11/10/2018 11:04:58","-1:00",,"Alarm","COVER OPEN 7  On",,Bx1BPT
474904,"11/10/2018 11:04:58","-1:00",,"Alarm","PVSI NOT READY  On",,GLEshN
474905,"11/10/2018 11:04:58","-1:00",,"Alarm","PVSI AND WINCC PRODUCT DIFFERENT  On",,DX81HT
474906,"11/10/2018 11:04:58","-1:00",,"Alarm","WARNING MISSING LOGIN OPERATION  On",,G+6Fh2
474907,"11/10/2018 11:05:04","-1:00","System","User administration","User 'nadir' logged on with group 'Administrator'.",,kL6XZc
474908,"11/10/2018 11:05:17","-1:00","nadir","Warning","PVSI NOT RUNNING   Off",,/nQ9B+
474909;"14/10/2019 14:11:55";"-2:00";"System";"Application";"The last known sequential number for operator actions differs from the number in the log. Continuing with a higher number, 474909.";;DJPYVW
0;"14/10/2019 14:11:56";"-2:00";"System";"Application";"Startup of  on device . Project: '. - ' Build , created with WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3";;OOdMDW
474910;"14/10/2019 14:11:56";"-2:00";"System";"User administration";"Password list imported successfully.";;KrOkgI
474911;"14/10/2019 14:11:56";"-2:00";"System";"Application";"Change to operating mode 'online'.";;SEkbyA
0;"14/10/2019 14:11:57";"-2:00";"System";"Logs";"Log files closed.";;9bc8RA
"$RT_COUNT$";80;kk14ge;;;;;zIWY6D
