"RecordID";"TimeStamp";"DeltaToUTC";"UserID";"ObjectID";"Description";"Comment";"Checksum"
0;"14/11/2019 08:18:26";"+0:00";"System";"Application";"New log file during run of  on device . Project: '. - ' Build , created with .WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3";;mjU8WS
476585;"14/11/2019 08:18:26";"+0:00";"System";"Logs";"Exporting a log.";;0nP/H2
476586;"14/11/2019 08:18:30";"+0:00";;"Recipe";"Loading recipe number 14 ( Vials 2ml Amber Prod ) on the interface.";;2iKkcC
476587;"14/11/2019 08:18:30";"+0:00";;"Recipe";"Data trasfered to PLC";;lJ2DuI
476588;"14/11/2019 08:18:30";"+0:00";;"Warning";"ALARM OZONE SENSOR  On";;HfzbHB
476589;"14/11/2019 08:18:30";"+0:00";;"Warning";"PVSI NOT RUNNING   On";;XRvqbO
476590;"14/11/2019 08:18:30";"+0:00";;"Warning";"WARNING EMPTY PROGRAM ACTIVATED  On";;/LKJiI
476591;"14/11/2019 08:18:30";"+0:00";;"Alarm";"EMERGENCY  On";;xfxdKV
476592;"14/11/2019 08:18:30";"+0:00";;"Alarm";"ALARM SAFETY CLUTCH LOADING STARWHEEL  On";;KWKTTo
476593;"14/11/2019 08:18:30";"+0:00";;"Alarm";"ALARM SAFETY CLUTCH INTERMITTENT STARWHEEL IMPUT  On";;5YcfxW
476594;"14/11/2019 08:18:30";"+0:00";;"Alarm";"ALARM SAFETY CLUTCH INTERMITTENT STARWHEEL OUTPUT   On";;YRvcJo
476595;"14/11/2019 08:18:30";"+0:00";;"Alarm";"ALARM MAIN MOTOR  On";;RA6lLE
476596;"14/11/2019 08:18:30";"+0:00";;"Alarm";"ALARM INFEED BELT MOTOR  On";;5Upjhp
476597;"14/11/2019 08:18:30";"+0:00";;"Alarm";"ALARM ROTATION MOTOR 1  On";;H/8qOD
476598;"14/11/2019 08:18:30";"+0:00";;"Alarm";"ALARM ROTATION MOTOR 2  On";;8nuFiq
476599;"14/11/2019 08:18:30";"+0:00";;"Alarm";"ALARM MISSING COMUNICATION WITH INTERFACE  On";;sWuYpg
476600;"14/11/2019 08:18:30";"+0:00";;"Alarm";"ALARM MISSING LKD REJECTED TRAYS   On";;njuTob
476601;"14/11/2019 08:18:30";"+0:00";;"Alarm";"PVSI NOT READY  On";;IRhGMa
476602;"14/11/2019 08:18:30";"+0:00";;"Alarm";"PVSI AND WINCC PRODUCT DIFFERENT  On";;X9+i1L
476603;"14/11/2019 08:18:30";"+0:00";;"Alarm";"Alarm profibus nodo 3 (encoder)  On";;7hn//t
476604;"14/11/2019 08:18:30";"+0:00";;"Alarm";"Alarm profibus nodo 4 (PC)  On";;D4/C9u
476605;"14/11/2019 08:18:30";"+0:00";;"Alarm";"WARNING MISSING LOGIN OPERATION  On";;wA83HE
476606;"14/11/2019 08:18:35";"+0:00";;"Alarm";"ALARM MISSING COMUNICATION WITH INTERFACE  Off";;JmB/sj
476607;"14/11/2019 08:28:20";"+0:00";"System";"User administration";"User 'nadir' logged on with group 'Administrator'.";;CwTpas
476608;"14/11/2019 08:28:31";"+0:00";"nadir";"Warning";"PVSI NOT RUNNING   Off";;S0jGzT
476609;"14/11/2019 08:30:37";"+0:00";"nadir";"Modem:  ";"Modem Status : on";;cIXQQS
476610;"14/11/2019 08:30:37";"+0:00";"nadir";"Warning";"MACHINE ONLINE  On";;7LE7RW
476611;"14/11/2019 08:45:38";"+0:00";"nadir";"Warning";"ALARM OZONE SENSOR  Off";;BHz+X8
476612;"14/11/2019 08:45:38";"+0:00";"nadir";"Alarm";"ALARM SAFETY CLUTCH LOADING STARWHEEL  Off";;oNUfnQ
476613;"14/11/2019 08:45:38";"+0:00";"nadir";"Alarm";"ALARM SAFETY CLUTCH INTERMITTENT STARWHEEL IMPUT  Off";;ZBgH/o
476614;"14/11/2019 08:45:38";"+0:00";"nadir";"Alarm";"ALARM SAFETY CLUTCH INTERMITTENT STARWHEEL OUTPUT   Off";;2JhMsR
476615;"14/11/2019 08:45:38";"+0:00";"nadir";"Alarm";"ALARM MAIN MOTOR  Off";;rQS5u6
476616;"14/11/2019 08:45:38";"+0:00";"nadir";"Alarm";"ALARM ROTATION MOTOR 1  Off";;i+PZG4
476617;"14/11/2019 08:45:38";"+0:00";"nadir";"Alarm";"ALARM ROTATION MOTOR 2  Off";;SPedPa
476618;"14/11/2019 08:45:38";"+0:00";"nadir";"Alarm";"ALARM MISSING LKD REJECTED TRAYS   Off";;tvyerS
476619;"14/11/2019 08:45:38";"+0:00";"nadir";"Alarm";"PVSI NOT READY  Off";;r/C6ZP
476620;"14/11/2019 08:45:38";"+0:00";"nadir";"Alarm";"PVSI AND WINCC PRODUCT DIFFERENT  Off";;c93Z+/
476621;"14/11/2019 08:45:38";"+0:00";"nadir";"Alarm";"Alarm profibus nodo 3 (encoder)  Off";;mRuO8P
476622;"14/11/2019 08:45:38";"+0:00";"nadir";"Alarm";"Alarm profibus nodo 4 (PC)  Off";;vB/GGM
476623;"14/11/2019 08:45:38";"+0:00";"nadir";"Alarm";"WARNING MISSING LOGIN OPERATION  Off";;Tbb86k
476624;"14/11/2019 08:45:38";"+0:00";"nadir";"Alarm";"EMERGENCY  Off";;IvvJkC
476625;"14/11/2019 08:45:38";"+0:00";"nadir";"Alarm";"ALARM INFEED BELT MOTOR  Off";;gshmCP
476626;"14/11/2019 08:45:42";"+0:00";"nadir";"Alarm: 1135";"Acknowledgment of 1135 alarm from PLC MCA200+LKD; the cited messages is part of alarm group 1.";;P/bl0s
476627;"14/11/2019 08:45:42";"+0:00";"nadir";"Alarm:";"EMERGENCY  Acknowledgment";;BSMoFX
476628;"14/11/2019 08:45:42";"+0:00";"nadir";"Alarm:";"ALARM SAFETY CLUTCH LOADING STARWHEEL  Acknowledgment";;1rAwyS
476629;"14/11/2019 08:45:42";"+0:00";"nadir";"Alarm:";"ALARM SAFETY CLUTCH INTERMITTENT STARWHEEL IMPUT  Acknowledgment";;X1YwnY
476630;"14/11/2019 08:45:42";"+0:00";"nadir";"Alarm:";"ALARM SAFETY CLUTCH INTERMITTENT STARWHEEL OUTPUT   Acknowledgment";;rF/ibd
476631;"14/11/2019 08:45:42";"+0:00";"nadir";"Alarm:";"ALARM MAIN MOTOR  Acknowledgment";;eG/qey
476632;"14/11/2019 08:45:42";"+0:00";"nadir";"Alarm:";"ALARM INFEED BELT MOTOR  Acknowledgment";;vG5ZJc
476633;"14/11/2019 08:45:42";"+0:00";"nadir";"Alarm:";"ALARM ROTATION MOTOR 1  Acknowledgment";;SxjOqg
476634;"14/11/2019 08:45:42";"+0:00";"nadir";"Alarm:";"ALARM ROTATION MOTOR 2  Acknowledgment";;kzQUsq
476635;"14/11/2019 08:45:42";"+0:00";"nadir";"Alarm:";"ALARM MISSING COMUNICATION WITH INTERFACE  Acknowledgment";;8OePYA
476636;"14/11/2019 08:45:42";"+0:00";"nadir";"Alarm:";"ALARM MISSING LKD REJECTED TRAYS   Acknowledgment";;ImnNnF
476637;"14/11/2019 08:45:42";"+0:00";"nadir";"Alarm:";"PVSI NOT READY  Acknowledgment";;3WNarY
476638;"14/11/2019 08:45:42";"+0:00";"nadir";"Alarm:";"PVSI AND WINCC PRODUCT DIFFERENT  Acknowledgment";;QZ8LRS
476639;"14/11/2019 08:45:42";"+0:00";"nadir";"Alarm:";"Alarm profibus nodo 3 (encoder)  Acknowledgment";;a/yv+i
476640;"14/11/2019 08:45:42";"+0:00";"nadir";"Alarm:";"Alarm profibus nodo 4 (PC)  Acknowledgment";;G+S3Tf
476641;"14/11/2019 08:45:42";"+0:00";"nadir";"Alarm:";"WARNING MISSING LOGIN OPERATION  Acknowledgment";;OUtkS8
476642;"14/11/2019 08:45:46";"+0:00";"nadir";"Alarm";"EMERGENCY  On";;kRZDsi
476643;"14/11/2019 08:45:46";"+0:00";"nadir";"Alarm";"ALARM INFEED BELT MOTOR  On";;IP6Lm6
476644;"14/11/2019 08:45:47";"+0:00";"nadir";"Alarm";"EMERGENCY  Off";;IBxy3r
476645;"14/11/2019 08:45:47";"+0:00";"nadir";"Alarm";"ALARM INFEED BELT MOTOR  Off";;k3Axo1
476646;"14/11/2019 08:45:48";"+0:00";"nadir";"Alarm";"EMERGENCY  On";;mdOSIp
476647;"14/11/2019 08:45:48";"+0:00";"nadir";"Alarm";"ALARM INFEED BELT MOTOR  On";;lKsAJ9
476648;"14/11/2019 08:45:49";"+0:00";"nadir";"Alarm";"EMERGENCY  Off";;DUe9HB
476649;"14/11/2019 08:45:49";"+0:00";"nadir";"Alarm";"ALARM INFEED BELT MOTOR  Off";;8SP6wi
