"RecordID";"TimeStamp";"DeltaToUTC";"UserID";"ObjectID";"Description";"Comment";"Checksum"
0;"24/01/2020 08:08:40";"+0:00";"System";"Application";"New log file during run of  on device . Project: '. - ' Build , created with .WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3";;IxPAmJ
499540;"24/01/2020 08:08:40";"+0:00";"System";"Logs";"Exporting a log.";;1LuCb6
499541;"24/01/2020 08:08:45";"+0:00";;"Recipe";"Loading recipe number 3 ( 5mL Production ) on the interface.";;DxHBZP
499542;"24/01/2020 08:08:45";"+0:00";;"Recipe";"Data trasfered to PLC";;B9eJEI
499543;"24/01/2020 08:08:45";"+0:00";;"Warning";"ALARM OZONE SENSOR  On";;tCQoVA
499544;"24/01/2020 08:08:45";"+0:00";;"Warning";"PVSI NOT RUNNING   On";;Ml/AvE
499545;"24/01/2020 08:08:45";"+0:00";;"Warning";"WARNING EMPTY PROGRAM ACTIVATED  On";;5grlxd
499546;"24/01/2020 08:08:45";"+0:00";;"Warning";"MACHINE ONLINE  On";;jkc7ul
499547;"24/01/2020 08:08:45";"+0:00";;"Alarm";"EMERGENCY  On";;D6ma16
499548;"24/01/2020 08:08:45";"+0:00";;"Alarm";"COVER OPEN 1  On";;eeW4nz
499549;"24/01/2020 08:08:45";"+0:00";;"Alarm";"COVER OPEN 2  On";;09z1a8
499550;"24/01/2020 08:08:45";"+0:00";;"Alarm";"COVER OPEN 3  On";;Sm2AnV
499551;"24/01/2020 08:08:45";"+0:00";;"Alarm";"COVER OPEN 5  On";;Zxqljk
499552;"24/01/2020 08:08:45";"+0:00";;"Alarm";"COVER OPEN 6  On";;Cp3LmK
499553;"24/01/2020 08:08:45";"+0:00";;"Alarm";"COVER OPEN 7  On";;y9pOkG
499554;"24/01/2020 08:08:45";"+0:00";;"Alarm";"ALARM SAFETY CLUTCH LOADING STARWHEEL  On";;hD6CcE
499555;"24/01/2020 08:08:45";"+0:00";;"Alarm";"ALARM SAFETY CLUTCH INTERMITTENT STARWHEEL IMPUT  On";;cGggbJ
499556;"24/01/2020 08:08:45";"+0:00";;"Alarm";"ALARM SAFETY CLUTCH INTERMITTENT STARWHEEL OUTPUT   On";;C7vYGQ
499557;"24/01/2020 08:08:45";"+0:00";;"Alarm";"ALARM INFEED BELT MOTOR  On";;WojMgu
499558;"24/01/2020 08:08:45";"+0:00";;"Alarm";"ALARM ROTATION MOTOR 1  On";;HYYJTL
499559;"24/01/2020 08:08:45";"+0:00";;"Alarm";"ALARM ROTATION MOTOR 2  On";;t02Ib6
499560;"24/01/2020 08:08:45";"+0:00";;"Alarm";"ALARM MISSING COMUNICATION WITH INTERFACE  On";;KX9DSu
499561;"24/01/2020 08:08:45";"+0:00";;"Alarm";"ALARM MISSING ST0 TIP REJECTED TRAYS   On";;rDtgcw
499562;"24/01/2020 08:08:45";"+0:00";;"Alarm";"ALARM MISSING LKD REJECTED TRAYS   On";;hKUCMy
499563;"24/01/2020 08:08:45";"+0:00";;"Alarm";"PVSI NOT READY  On";;9uYNHu
499564;"24/01/2020 08:08:45";"+0:00";;"Alarm";"PVSI AND WINCC PRODUCT DIFFERENT  On";;Cu8shK
499565;"24/01/2020 08:08:45";"+0:00";;"Alarm";"Alarm profibus nodo 3 (encoder)  On";;AGGU8U
499566;"24/01/2020 08:08:45";"+0:00";;"Alarm";"Alarm profibus nodo 4 (PC)  On";;yKspj0
499567;"24/01/2020 08:08:45";"+0:00";;"Alarm";"WARNING MISSING LOGIN OPERATION  On";;wvPwjy
499568;"24/01/2020 08:08:50";"+0:00";;"Alarm";"ALARM MISSING COMUNICATION WITH INTERFACE  Off";;NTnd4x
499569;"24/01/2020 08:12:46";"+0:00";"System";"User administration";"User 'adamb' logged on with group 'Operator'.";;Ya7Pj9
499570;"24/01/2020 08:13:00";"+0:00";"adamb";"Warning";"PVSI NOT RUNNING   Off";;PlmPf6
499571;"24/01/2020 08:14:46";"+0:00";"adamb";"Warning";"ALARM OZONE SENSOR  Off";;QrwAa1
499572;"24/01/2020 08:14:46";"+0:00";"adamb";"Alarm";"COVER OPEN 1  Off";;R1dJdk
499573;"24/01/2020 08:14:46";"+0:00";"adamb";"Alarm";"COVER OPEN 3  Off";;OlaIg5
499574;"24/01/2020 08:14:46";"+0:00";"adamb";"Alarm";"COVER OPEN 5  Off";;VD4ont
499575;"24/01/2020 08:14:46";"+0:00";"adamb";"Alarm";"COVER OPEN 6  Off";;CjyHmN
499576;"24/01/2020 08:14:46";"+0:00";"adamb";"Alarm";"COVER OPEN 7  Off";;bFFKVp
499577;"24/01/2020 08:14:46";"+0:00";"adamb";"Alarm";"ALARM SAFETY CLUTCH LOADING STARWHEEL  Off";;rPm8V3
499578;"24/01/2020 08:14:46";"+0:00";"adamb";"Alarm";"ALARM SAFETY CLUTCH INTERMITTENT STARWHEEL IMPUT  Off";;J4s4dS
