"RecordID","TimeStamp","DeltaToUTC","UserID","ObjectID","Description","Comment","Checksum"
0,"14/12/2015 12:03:52","-1:00","System","Application","New log file during run of  on device . Project: '. - ' Build , created with .WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3",,6J+seY
157078,"14/12/2015 12:03:52","-1:00","System","Logs","Exporting a log.",,Ndks/5
157079,"14/12/2015 12:03:57","-1:00",,"Recipe","Loading recipe number 14 ( 100mL  PotCl ) on the interface.",,2rryJ1
157080,"14/12/2015 12:03:58","-1:00",,"Recipe","Data trasfered to PLC",,JBMhxN
157081,"14/12/2015 12:03:58","-1:00",,"Warning","PVSI NOT READY  On",,+3ulMA
157082,"14/12/2015 12:03:58","-1:00",,"Warning","PVSI NOT RUNNING   On",,tOUX6l
157083,"14/12/2015 12:03:58","-1:00",,"Warning","WARNING EMPTY PROGRAM ACTIVATED  On",,TGL/iX
157084,"14/12/2015 12:03:58","-1:00",,"Warning","WARNING ACCEPTED TRAY ALMOST FULL  On",,q+XsPn
157085,"14/12/2015 12:03:58","-1:00",,"Warning","WARNING REJECTED TRAY 1 ALMOST FULL  On",,kB8DAY
157086,"14/12/2015 12:03:58","-1:00",,"Warning","WARNING REJECTED TRAY 2 ALMOST FULL  On",,1kpM7g
157087,"14/12/2015 12:03:58","-1:00",,"Alarm","ALARM MISSING COMUNICATION WITH INTERFACE  On",,foasqv
157088,"14/12/2015 12:03:58","-1:00",,"Alarm","WARNING MISSING LOGIN OPERATION  On",,3PMq8C
157089,"14/12/2015 12:04:14","-1:00","System","User administration","User 'Admin' logged on with group 'Administrator'.",,Esn4rO
157090,"14/12/2015 12:04:14","-1:00","Admin","Alarm","ALARM MISSING COMUNICATION WITH INTERFACE  Off",,u68Rq+
157091,"14/12/2015 12:04:20","-1:00","Admin","Warning","PVSI NOT RUNNING   Off",,pDpB4b
157092,"14/12/2015 12:05:11","-1:00","Admin","Warning","PVSI NOT RUNNING   On",,283n9G
157093,"14/12/2015 12:05:23","-1:00","Admin","Recipe","Loading recipe number 14 ( 100mL  PotCl ) on the interface.",,bDm/xW
157094,"14/12/2015 12:05:23","-1:00","Admin","Recipe","Data trasfered to PLC",,yqxsZs
157095,"14/12/2015 12:05:26","-1:00","Admin","Alarm: 1135","Acknowledgment of 1135 alarm from PLC MCA200+LKD; the cited messages is part of alarm group 1.",,5FQX4T
157096,"14/12/2015 12:05:26","-1:00","Admin","Alarm:","ALARM MISSING COMUNICATION WITH INTERFACE  Acknowledgment",,zccYUg
157097,"14/12/2015 12:05:26","-1:00","Admin","Alarm:","WARNING MISSING LOGIN OPERATION  Acknowledgment",,iII91X
157098,"14/12/2015 12:05:28","-1:00","Admin","User administration","User logged off.",,fyp5f2
157099,"14/12/2015 12:05:28","-1:00",,"Tag: Cicli continui\UserLevel","Change the value of the 'Cicli continui\UserLevel' tag from '0' to '0' by entering '0'.",,VQc38I
157100,"14/12/2015 12:05:48","-1:00","System","User administration","User 'Supervisor' logged on with group 'Supervisor'.",,aOQSD6
157101,"14/12/2015 12:05:48","-1:00","Supervisor","Alarm","EMERGENCY  On",,FqoM0m
157102,"14/12/2015 12:05:48","-1:00","Supervisor","Alarm","COVER OPEN 3  On",,VDyrha
157103,"14/12/2015 12:05:48","-1:00","Supervisor","Alarm","ALARM INFEED BELT MOTOR  On",,AwcZ3P
157104,"14/12/2015 12:05:48","-1:00","Supervisor","Alarm","ALARM ROTATION MOTOR  On",,4HYOkZ
157105,"14/12/2015 12:05:48","-1:00","Supervisor","Alarm","ALARM ROTATION MOTOR 2  On",,d79s4+
157106,"14/12/2015 12:05:48","-1:00","Supervisor","Alarm","ALARM ROTATION MOTOR 3  On",,CLjkFK
157107,"14/12/2015 12:05:53","-1:00","Supervisor","Warning","PVSI NOT READY  Off",,TUttxR
157108,"14/12/2015 12:05:53","-1:00","Supervisor","Alarm","COVER OPEN 3  Off",,BvgiNN
157109,"14/12/2015 12:05:53","-1:00","Supervisor","Alarm","WARNING MISSING LOGIN OPERATION  Off",,OUok4B
157110,"14/12/2015 12:05:53","-1:00","Supervisor","Alarm","EMERGENCY  Off",,Tg9vQr
157111,"14/12/2015 12:05:53","-1:00","Supervisor","Alarm","ALARM INFEED BELT MOTOR  Off",,t1YxWL
157112,"14/12/2015 12:05:54","-1:00","Supervisor","Alarm","ALARM ROTATION MOTOR  Off",,Dgf+Zq
157113,"14/12/2015 12:05:54","-1:00","Supervisor","Alarm","ALARM ROTATION MOTOR 2  Off",,gp1Aou
157114,"14/12/2015 12:05:54","-1:00","Supervisor","Alarm","ALARM ROTATION MOTOR 3  Off",,VNaZ30
157115,"14/12/2015 12:05:54","-1:00","Supervisor","Warning","PVSI NOT RUNNING   Off",,d7gVT2
157116,"14/12/2015 12:06:29","-1:00","Supervisor","Alarm","EMERGENCY  On",,BYtstz
157117,"14/12/2015 12:06:29","-1:00","Supervisor","Alarm","COVER OPEN 3  On",,3qU89S
157118,"14/12/2015 12:06:29","-1:00","Supervisor","Alarm","ALARM INFEED BELT MOTOR  On",,TvWC5a
