"RecordID","TimeStamp","DeltaToUTC","UserID","ObjectID","Description","Comment","Checksum"
0,"06/02/2019 09:34:31","+0:00","System","Application","New log file during run of  on device . Project: '. - ' Build , created with .WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3",,gsUdLz
357438,"06/02/2019 09:34:31","+0:00","System","Logs","Exporting a log.",,/RnnNH
357439,"06/02/2019 09:34:48","+0:00",,"Recipe","Loading recipe number 4 ( 100ml Production ) on the interface.",,1MSOJg
357440,"06/02/2019 09:34:49","+0:00",,"Recipe","Data trasfered to PLC",,E/L54T
357441,"06/02/2019 09:34:49","+0:00",,"Alarm","ALARM INFEED BELT MOTOR  On",,/b6Euo
357442,"06/02/2019 09:34:49","+0:00",,"Alarm","ALARM ROTATION MOTOR  On",,LIeUfd
357443,"06/02/2019 09:34:49","+0:00",,"Alarm","ALARM ROTATION MOTOR 2  On",,HPf2VE
357444,"06/02/2019 09:34:49","+0:00",,"Alarm","ALARM ROTATION MOTOR 3  On",,lgSAmI
357445,"06/02/2019 09:34:49","+0:00",,"Alarm","ALARM MISSING COMUNICATION WITH INTERFACE  On",,+TObCn
357446,"06/02/2019 09:34:49","+0:00",,"Alarm","WARNING MISSING LOGIN OPERATION  On",,zRtTuv
357447,"06/02/2019 09:34:49","+0:00",,"Warning","ALARM VACUUM SENSOR  On",,3tsQC7
357448,"06/02/2019 09:34:49","+0:00",,"Warning","PVSI NOT READY  On",,lX9BQL
357449,"06/02/2019 09:34:49","+0:00",,"Warning","PVSI AND WINCC PRODUCT DIFFERENT  On",,t5SjlK
357450,"06/02/2019 09:34:49","+0:00",,"Warning","PVSI NOT RUNNING   On",,rNagXT
357451,"06/02/2019 09:34:49","+0:00",,"Warning","WARNING INFEED BELT MINIM LOAD  On",,nQ7aQK
357452,"06/02/2019 09:34:49","+0:00",,"Alarm","EMERGENCY  On",,BbVUOr
357453,"06/02/2019 09:34:49","+0:00",,"Alarm","COVER OPEN 1  On",,f6BJ5G
357454,"06/02/2019 09:34:49","+0:00",,"Alarm","COVER OPEN 4  On",,BRe76r
357455,"06/02/2019 09:34:49","+0:00",,"Alarm","ALARM PROFIBUS NODE 3 (ENCODER)  On",,CgnKfz
357456,"06/02/2019 09:34:49","+0:00",,"Alarm","ALARM PROFIBUS NODE 4 (PC)  On",,4KpbYf
357457,"06/02/2019 09:34:49","+0:00",,"Warning","PVSI NOT RUNNING   Off",,CeAcjC
357458,"06/02/2019 09:34:53","+0:00",,"Alarm","ALARM MISSING COMUNICATION WITH INTERFACE  Off",,YN9JIj
357459,"06/02/2019 09:35:56","+0:00",,"Alarm","COVER OPEN 3  On",,8am3jX
357460,"06/02/2019 09:37:02","+0:00",,"Alarm","COVER OPEN 2  On",,Fts7Jt
357461,"06/02/2019 14:25:37","+0:00","System","User administration","User 'markw' logged on with group 'Operator'.",,lqZ1st
357462,"06/02/2019 14:25:47","+0:00","markw","Recipe","Loading recipe number 3 ( 50ml Production ) on the interface.",,O2Nvbn
357463,"06/02/2019 14:25:47","+0:00","markw","Recipe","Data trasfered to PLC",,2EtMEv
357464,"06/02/2019 14:25:50","+0:00","markw","Warning","PVSI NOT RUNNING   On",,edmtCs
357465,"06/02/2019 14:25:52","+0:00","markw","Warning","PVSI NOT RUNNING   Off",,W0oDBJ
357466,"06/02/2019 14:26:51","+0:00","markw","Warning","WARNING SAFETY DOORS EXCLUDED  On",,r9gRZU
357467,"06/02/2019 14:26:58","+0:00","markw","Alarm","WARNING MISSING LOGIN OPERATION  Off",,H0SXeY
357468,"06/02/2019 14:26:58","+0:00","markw","Warning","ALARM VACUUM SENSOR  Off",,P1ZY9a
357469,"06/02/2019 14:26:58","+0:00","markw","Warning","PVSI NOT READY  Off",,T/B6Aw
357470,"06/02/2019 14:26:58","+0:00","markw","Warning","PVSI AND WINCC PRODUCT DIFFERENT  Off",,qzpVQB
357471,"06/02/2019 14:26:58","+0:00","markw","Alarm","COVER OPEN 1  Off",,IqKG4o
357472,"06/02/2019 14:26:58","+0:00","markw","Alarm","COVER OPEN 2  Off",,W5+kpq
357473,"06/02/2019 14:26:58","+0:00","markw","Alarm","COVER OPEN 3  Off",,TJHSGg
357474,"06/02/2019 14:26:58","+0:00","markw","Alarm","COVER OPEN 4  Off",,MNZFdF
357475,"06/02/2019 14:26:58","+0:00","markw","Alarm","ALARM PROFIBUS NODE 3 (ENCODER)  Off",,ItELUa
357476,"06/02/2019 14:26:58","+0:00","markw","Alarm","ALARM PROFIBUS NODE 4 (PC)  Off",,Dp7nhR
357477,"06/02/2019 14:26:58","+0:00","markw","Alarm","EMERGENCY  Off",,85kYBZ
357478,"06/02/2019 14:26:59","+0:00","markw","Alarm","ALARM INFEED BELT MOTOR  Off",,3nHQYr
357479,"06/02/2019 14:26:59","+0:00","markw","Alarm","ALARM ROTATION MOTOR  Off",,zIECxm
357480,"06/02/2019 14:26:59","+0:00","markw","Alarm","ALARM ROTATION MOTOR 2  Off",,/5MxRW
357481,"06/02/2019 14:26:59","+0:00","markw","Alarm","ALARM ROTATION MOTOR 3  Off",,XjVj/M
