"RecordID";"TimeStamp";"DeltaToUTC";"UserID";"ObjectID";"Description";"Comment";"Checksum"
0;"12/11/2019 11:47:53";"+0:00";"System";"Application";"New log file during run of  on device . Project: '. - ' Build , created with .WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3WinCC flexible RT 2008 SP3";;bt3+Bk
329879;"12/11/2019 11:47:53";"+0:00";"System";"Logs";"Exporting a log.";;WPAoFS
329880;"12/11/2019 11:48:01";"+0:00";;"Recipe";"Loading recipe number 4 ( 100ml Production ) on the interface.";;cPTI2v
329881;"12/11/2019 11:48:01";"+0:00";;"Recipe";"Data trasfered to PLC";;yBBUQG
329882;"12/11/2019 11:48:01";"+0:00";;"Warning";"ALARM VACUUM SENSOR  On";;nChi/K
329883;"12/11/2019 11:48:01";"+0:00";;"Warning";"PVSI NOT READY  On";;oipSCT
329884;"12/11/2019 11:48:01";"+0:00";;"Warning";"PVSI AND WINCC PRODUCT DIFFERENT  On";;/YP1Z8
329885;"12/11/2019 11:48:01";"+0:00";;"Warning";"WARNING EMPTY PROGRAM ACTIVATED  On";;RYAM13
329886;"12/11/2019 11:48:01";"+0:00";;"Warning";"WARNING SAFETY DOORS EXCLUDED  On";;4qYZYX
329887;"12/11/2019 11:48:01";"+0:00";;"Alarm";"EMERGENCY  On";;XCSK9h
329888;"12/11/2019 11:48:01";"+0:00";;"Alarm";"ALARM PROFIBUS NODE 3 (ENCODER)  On";;4GHYOf
329889;"12/11/2019 11:48:01";"+0:00";;"Alarm";"ALARM PROFIBUS NODE 4 (PC)  On";;RmvI6P
329890;"12/11/2019 11:48:01";"+0:00";;"Alarm";"ALARM INFEED BELT MOTOR  On";;TmVsnW
329891;"12/11/2019 11:48:01";"+0:00";;"Alarm";"ALARM ROTATION MOTOR  On";;kxaZsT
329892;"12/11/2019 11:48:01";"+0:00";;"Alarm";"ALARM ROTATION MOTOR 2  On";;o//wA1
329893;"12/11/2019 11:48:01";"+0:00";;"Alarm";"ALARM ROTATION MOTOR 3  On";;PtUf+o
329894;"12/11/2019 11:48:01";"+0:00";;"Alarm";"ALARM MISSING COMUNICATION WITH INTERFACE  On";;Fy1yy6
329895;"12/11/2019 11:48:01";"+0:00";;"Alarm";"WARNING MISSING LOGIN OPERATION  On";;9UYXJ6
329896;"12/11/2019 11:48:06";"+0:00";;"Warning";"PVSI NOT RUNNING   On";;6I4lzM
329897;"12/11/2019 11:48:06";"+0:00";;"Warning";"WARNING SAFETY DOORS EXCLUDED  Off";;c7AwCI
329898;"12/11/2019 11:48:06";"+0:00";;"Alarm";"ALARM MISSING COMUNICATION WITH INTERFACE  Off";;DsrhFk
329899;"12/11/2019 11:48:13";"+0:00";"System";"User administration";"User 'nadir' logged on with group 'Administrator'.";;Minbat
329900;"12/11/2019 11:48:25";"+0:00";"nadir";"Warning";"PVSI NOT RUNNING   Off";;wYGqNR
329901;"12/11/2019 11:51:46";"+0:00";"nadir";"Warning";"ALARM VACUUM SENSOR  Off";;EVzrax
329902;"12/11/2019 11:51:46";"+0:00";"nadir";"Warning";"PVSI NOT READY  Off";;4VX8Qz
329903;"12/11/2019 11:51:46";"+0:00";"nadir";"Warning";"PVSI AND WINCC PRODUCT DIFFERENT  Off";;TWHBQe
329904;"12/11/2019 11:51:46";"+0:00";"nadir";"Alarm";"ALARM PROFIBUS NODE 3 (ENCODER)  Off";;QDeCMf
329905;"12/11/2019 11:51:46";"+0:00";"nadir";"Alarm";"ALARM PROFIBUS NODE 4 (PC)  Off";;EhnyA6
329906;"12/11/2019 11:51:46";"+0:00";"nadir";"Alarm";"WARNING MISSING LOGIN OPERATION  Off";;afxSfb
329907;"12/11/2019 11:54:18";"+0:00";"nadir";"Alarm: 1135";"Acknowledgment of 1135 alarm from PLC MCA200+LKD; the cited messages is part of alarm group 1.";;gOaTp3
329908;"12/11/2019 11:54:18";"+0:00";"nadir";"Alarm:";"EMERGENCY  Acknowledgment";;4CnXQC
329909;"12/11/2019 11:54:18";"+0:00";"nadir";"Alarm:";"ALARM PROFIBUS NODE 3 (ENCODER)  Acknowledgment";;UB8ViC
329910;"12/11/2019 11:54:18";"+0:00";"nadir";"Alarm:";"ALARM PROFIBUS NODE 4 (PC)  Acknowledgment";;qmBi4q
329911;"12/11/2019 11:54:18";"+0:00";"nadir";"Alarm:";"ALARM INFEED BELT MOTOR  Acknowledgment";;wZ4Eik
329912;"12/11/2019 11:54:18";"+0:00";"nadir";"Alarm:";"ALARM ROTATION MOTOR  Acknowledgment";;dAumOy
329913;"12/11/2019 11:54:18";"+0:00";"nadir";"Alarm:";"ALARM ROTATION MOTOR 2  Acknowledgment";;Srp9tb
329914;"12/11/2019 11:54:18";"+0:00";"nadir";"Alarm:";"ALARM ROTATION MOTOR 3  Acknowledgment";;H+o7iT
329915;"12/11/2019 11:54:18";"+0:00";"nadir";"Alarm:";"ALARM MISSING COMUNICATION WITH INTERFACE  Acknowledgment";;50kddh
329916;"12/11/2019 11:54:18";"+0:00";"nadir";"Alarm:";"WARNING MISSING LOGIN OPERATION  Acknowledgment";;rgeOGp
329917;"12/11/2019 11:54:23";"+0:00";"nadir";"Alarm";"EMERGENCY  Off";;ZzR2Vg
329918;"12/11/2019 11:54:23";"+0:00";"nadir";"Alarm";"ALARM INFEED BELT MOTOR  Off";;DkbNCO
329919;"12/11/2019 11:54:24";"+0:00";"nadir";"Alarm";"ALARM ROTATION MOTOR  Off";;2UIiDO
329920;"12/11/2019 11:54:24";"+0:00";"nadir";"Alarm";"ALARM ROTATION MOTOR 2  Off";;n+ezBO
329921;"12/11/2019 11:54:24";"+0:00";"nadir";"Alarm";"ALARM ROTATION MOTOR 3  Off";;K1yQ5J
329922;"12/11/2019 11:56:18";"+0:00";"nadir";"Alarm";"ALARM SAFETY CLUTCH EXIT EXTRACTING STARWHEEL FOR ACCEPTED  On";;96N9Hh
329923;"12/11/2019 11:56:19";"+0:00";"nadir";"Alarm";"ALARM SAFETY CLUTCH INTERMITTENT STARWHEEL OUTPUT   On";;fCaBqC
329924;"12/11/2019 11:56:59";"+0:00";"nadir";"Alarm";"EMERGENCY  On";;kZZ9gf
329925;"12/11/2019 11:56:59";"+0:00";"nadir";"Alarm";"COVER OPEN 3  On";;Ip/vqk
329926;"12/11/2019 11:56:59";"+0:00";"nadir";"Alarm";"ALARM INFEED BELT MOTOR  On";;TNz0ff
329927;"12/11/2019 11:56:59";"+0:00";"nadir";"Alarm";"ALARM ROTATION MOTOR  On";;MyLDni
329928;"12/11/2019 11:56:59";"+0:00";"nadir";"Alarm";"ALARM ROTATION MOTOR 2  On";;2mWZKa
329929;"12/11/2019 11:56:59";"+0:00";"nadir";"Alarm";"ALARM ROTATION MOTOR 3  On";;edajWs
329930;"12/11/2019 11:57:18";"+0:00";"nadir";"Alarm";"COVER OPEN 3  Off";;yjyTha
329931;"12/11/2019 11:57:18";"+0:00";"nadir";"Alarm";"ALARM SAFETY CLUTCH INTERMITTENT STARWHEEL OUTPUT   Off";;jJlIE8
329932;"12/11/2019 11:57:18";"+0:00";"nadir";"Alarm";"ALARM SAFETY CLUTCH EXIT EXTRACTING STARWHEEL FOR ACCEPTED  Off";;nssw05
329933;"12/11/2019 11:57:18";"+0:00";"nadir";"Alarm";"EMERGENCY  Off";;v7AW9W
329934;"12/11/2019 11:57:18";"+0:00";"nadir";"Alarm";"ALARM INFEED BELT MOTOR  Off";;zd88pI
329935;"12/11/2019 11:57:19";"+0:00";"nadir";"Alarm";"ALARM ROTATION MOTOR  Off";;NVi/rk
329936;"12/11/2019 11:57:19";"+0:00";"nadir";"Alarm";"ALARM ROTATION MOTOR 2  Off";;xTyfar
329937;"12/11/2019 11:57:19";"+0:00";"nadir";"Alarm";"ALARM ROTATION MOTOR 3  Off";;ycvZKw
329938;"12/11/2019 11:57:21";"+0:00";"nadir";"Alarm: 1024";"Acknowledgment of 1024 alarm from PLC MCA200+LKD; the cited messages is part of alarm group 1.";;uWq6rI
329939;"12/11/2019 11:57:21";"+0:00";"nadir";"Alarm:";"ALARM SAFETY CLUTCH EXIT EXTRACTING STARWHEEL FOR ACCEPTED  Acknowledgment";;rXVKnb
