file_name,line_number,exception,data
files/vial_audit/AuditTrail0_20180202_071058_SPAMI-PC.csv,ALL,"OrderedDict([('record_id', '\x0e\x0e\x0f\x0e\x11\x13\x15\x15\x11\x12\x0f\x10\x0e\x0f\x10\x0f\x0f\x10\x10\x10\x12\x11\x0f\x0f\x0f\x0f'), ('time_stamp', None), ('delta_to_utc', None), ('user_id', None), ('object_id', None), ('description', None), ('comment', None), ('check_sum', None)])",
files/vial_audit/AuditTrail0_20180206_104029_SPAMI-PC.csv,ALL,"OrderedDict([('record_id', '\x0c'), ('time_stamp', None), ('delta_to_utc', None), ('user_id', None), ('object_id', None), ('description', None), ('comment', None), ('check_sum', None)])",
files/vial_audit/AuditTrail0_20180205_130713_SPAMI-PC.csv,ALL,"OrderedDict([('record_id', '\x0f\x0e\x0e\x0f'), ('time_stamp', None), ('delta_to_utc', None), ('user_id', None), ('object_id', None), ('description', None), ('comment', None), ('check_sum', None)])",
files/vial_audit/AuditTrail0_20180206_090336_SPAMI-PC.csv,ALL,"OrderedDict([('record_id', '\x0e\x10\x0f\x11\x10\x0e\x0f\x0e'), ('time_stamp', None), ('delta_to_utc', None), ('user_id', None), ('object_id', None), ('description', None), ('comment', None), ('check_sum', None)])",
files/vial_audit/AuditTrail0_20180207_094121_SPAMI-PC.csv,ALL,"OrderedDict([('record_id', '\x0c'), ('time_stamp', None), ('delta_to_utc', None), ('user_id', None), ('object_id', None), ('description', None), ('comment', None), ('check_sum', None)])",
files/vial_audit/AuditTrail0_20180206_153528_SPAMI-PC.csv,ALL,"OrderedDict([('record_id', '\x0c\x0b'), ('time_stamp', None), ('delta_to_utc', None), ('user_id', None), ('object_id', None), ('description', None), ('comment', None), ('check_sum', None)])",
files/vial_audit/AuditTrail0_20180131_140549_SPAMI-PC.1.csv,2,time data '1/31/2018 3:05:49 PM' does not match format '%d/%m/%Y %H:%M:%S',"OrderedDict([('record_id', '0'), ('time_stamp', '1/31/2018 3:05:49 PM'), ('delta_to_utc', '-1:00'), ('user_id', 'System'), ('object_id', 'Application'), ('description', ""New log file during run of WinCC Runtime Advanced V13.00 + SP01 HF9 on HMI device SPAMI-PC. Project: 'PSP511701V18.LKD - 0' Build 329, created with WinCC Advanced V13 SP2.""), ('comment', ''), ('check_sum', 'RqtLU6')])"
files/vial_audit/AuditTrail0_20180131_140549_SPAMI-PC.1.csv,3,time data '1/31/2018 3:05:49 PM' does not match format '%d/%m/%Y %H:%M:%S',"OrderedDict([('record_id', '55714'), ('time_stamp', '1/31/2018 3:05:49 PM'), ('delta_to_utc', '-1:00'), ('user_id', 'System'), ('object_id', 'Logs'), ('description', 'Exporting a log.'), ('comment', ''), ('check_sum', 'IYwdnT')])"
files/vial_audit/AuditTrail0_20180131_140549_SPAMI-PC.1.csv,4,time data '1/31/2018 3:05:49 PM' does not match format '%d/%m/%Y %H:%M:%S',"OrderedDict([('record_id', '0'), ('time_stamp', '1/31/2018 3:05:49 PM'), ('delta_to_utc', '-1:00'), ('user_id', 'System'), ('object_id', 'Logs'), ('description', 'Log files closed.'), ('comment', ''), ('check_sum', 'hSTXXq')])"
files/vial_audit/AuditTrail0_20180131_144219_SPAMI-PC.csv,ALL,'utf-8' codec can't decode byte 0x80 in position 202: invalid start byte,
files/vial_audit/AuditTrail0_20180202_121854_SPAMI-PC.csv,ALL,"OrderedDict([('record_id', '\x0e\x0e\x0e\x0e'), ('time_stamp', None), ('delta_to_utc', None), ('user_id', None), ('object_id', None), ('description', None), ('comment', None), ('check_sum', None)])",
files/vial_audit/AuditTrail0_20180111_093029_SPAMI-PC.1.csv,2,unconverted data remains:  AM,"OrderedDict([('record_id', '0'), ('time_stamp', '1/11/2018 10:30:29 AM'), ('delta_to_utc', '-1:00'), ('user_id', 'System'), ('object_id', 'Application'), ('description', ""New log file during run of WinCC Runtime Advanced V13.00 + SP01 HF9 on HMI device SPAMI-PC. Project: 'PSP511701V16.LKD - 0' Build 230, created with WinCC Advanced V13 SP2.""), ('comment', ''), ('check_sum', 'sKI9k9')])"
files/vial_audit/AuditTrail0_20180111_093029_SPAMI-PC.1.csv,3,unconverted data remains:  AM,"OrderedDict([('record_id', '55383'), ('time_stamp', '1/11/2018 10:30:29 AM'), ('delta_to_utc', '-1:00'), ('user_id', 'System'), ('object_id', 'Logs'), ('description', 'Exporting a log.'), ('comment', ''), ('check_sum', 'jgaOXF')])"
files/vial_audit/AuditTrail0_20180111_093029_SPAMI-PC.1.csv,4,unconverted data remains:  AM,"OrderedDict([('record_id', '0'), ('time_stamp', '1/11/2018 10:30:29 AM'), ('delta_to_utc', '-1:00'), ('user_id', 'System'), ('object_id', 'Logs'), ('description', 'Log files closed.'), ('comment', ''), ('check_sum', 'DAD4yg')])"
files/vial_audit/AuditTrail0_20180206_071407_SPAMI-PC.csv,ALL,"OrderedDict([('record_id', '\x0f'), ('time_stamp', None), ('delta_to_utc', None), ('user_id', None), ('object_id', None), ('description', None), ('comment', None), ('check_sum', None)])",
files/vial_audit/AuditTrail0_20180131_134617_SPAMI-PC.csv,ALL,"OrderedDict([('record_id', '\x0e'), ('time_stamp', None), ('delta_to_utc', None), ('user_id', None), ('object_id', None), ('description', None), ('comment', None), ('check_sum', None)])",
files/vial_audit/AuditTrail0_20180202_072645_SPAMI-PC.1.csv,2,unconverted data remains:  AM,"OrderedDict([('record_id', '0'), ('time_stamp', '2/2/2018 8:26:45 AM'), ('delta_to_utc', '-1:00'), ('user_id', 'System'), ('object_id', 'Application'), ('description', ""New log file during run of WinCC Runtime Advanced V13.00 + SP01 HF9 on HMI device SPAMI-PC. Project: 'PSP511701V19.LKD - 0' Build 349, created with WinCC Advanced V13 SP2.""), ('comment', ''), ('check_sum', 'QsQYyV')])"
files/vial_audit/AuditTrail0_20180202_072645_SPAMI-PC.1.csv,3,unconverted data remains:  AM,"OrderedDict([('record_id', '56779'), ('time_stamp', '2/2/2018 8:26:45 AM'), ('delta_to_utc', '-1:00'), ('user_id', 'System'), ('object_id', 'Logs'), ('description', 'Exporting a log.'), ('comment', ''), ('check_sum', 'kMHl3B')])"
